"acm","Certificate Manager - Provision, Manage, and Deploy SSL/TLS Certificates","https://console.aws.amazon.com/acm/home"
"apigateway","API Gateway - Build, Deploy and Manage APIs","https://console.aws.amazon.com/apigateway/home"
"appstream","AppStream - Low Latency Application Streaming","https://console.aws.amazon.com/appstream/home"
"batch","Batch - Fully Managed Batch Processing at Any Scale","https://console.aws.amazon.com/batch/home"
"catalog","Service Catalog - Create and Use Standardized Products","https://console.aws.amazon.com/catalog/home"
"cloudformation","CloudFormation - Create and Manage Resources with Templates","https://console.aws.amazon.com/cloudformation/home"
"cloudfront","CloudFront - Global Content Delivery Network","https://console.aws.amazon.com/cloudfront/home"
"cloudsearch","CloudSearch - Managed Search Service","https://console.aws.amazon.com/cloudsearch/home"
"cloudtrail","CloudTrail - Track User Activity and API Usage","https://console.aws.amazon.com/cloudtrail/home"
"cloudwatch","CloudWatch - Monitor Resources and Applications","https://console.aws.amazon.com/cloudwatch/home"
"codecommit","CodeCommit - Store Code in Private Git Repositories","https://console.aws.amazon.com/codecommit/home"
"codedeploy","CodeDeploy - Automate Code Deployments","https://console.aws.amazon.com/codedeploy/home"
"codepipeline","CodePipeline - Release Software using Continuous Delivery","https://console.aws.amazon.com/codepipeline/home"
"cognito","Cognito - User Identity and App Data Synchronization","https://console.aws.amazon.com/cognito/home"
"config","Config - Track Resource Inventory and Changes","https://console.aws.amazon.com/config/home"
"datapipeline","Data Pipeline - Orchestration for Data-Driven Workflows","https://console.aws.amazon.com/datapipeline/home"
"devicefarm","Device Farm - Test Android, iOS, and Web Apps on Real Devices in the Cloud","https://console.aws.amazon.com/devicefarm/home"
"directconnect","Direct Connect - Dedicated Network Connection to AWS","https://console.aws.amazon.com/directconnect/home"
"directoryservice","Directory Service - Host and Manage Active Directory","https://console.aws.amazon.com/directoryservice/home"
"dms","DMS - Managed Database Migration Service","https://console.aws.amazon.com/dms/home"
"dynamodb","DynamoDB - Managed NoSQL Database","https://console.aws.amazon.com/dynamodb/home"
"ec2","EC2 - Virtual Servers in the Cloud","https://console.aws.amazon.com/ec2/home"
"ecs","EC2 Container Service - Run and Manage Docker Containers","https://console.aws.amazon.com/ecs/home"
"efs","Elastic File System - Fully Managed File System for EC2","https://console.aws.amazon.com/efs/home"
"elasticache","ElastiCache - In-Memory Cache","https://console.aws.amazon.com/elasticache/home"
"elasticbeanstalk","Elastic Beanstalk - Run and Manage Web Apps","https://console.aws.amazon.com/elasticbeanstalk/home"
"elasticmapreduce","EMR - Managed Hadoop Framework","https://console.aws.amazon.com/elasticmapreduce/home"
"elastictranscoder","Elastic Transcoder - Easy-to-Use Scalable Media Transcoding","https://console.aws.amazon.com/elastictranscoder/home"
"es","Elasticsearch Service - Run and Scale Elasticsearch Clusters","https://console.aws.amazon.com/es/home"
"gamelift","GameLift - Deploy and Scale Session-based Multiplayer Games","https://console.aws.amazon.com/gamelift/home"
"glacier","Glacier - Archive Storage in the Cloud","https://console.aws.amazon.com/glacier/home"
"iam","Identity & Access Management - Manage User Access and Encryption Keys","https://console.aws.amazon.com/iam/home"
"importexport","Snowball - Large Scale Data Transport","https://console.aws.amazon.com/importexport/home"
"inspector","Inspector - Analyze Application Security","https://console.aws.amazon.com/inspector/home"
"iot","AWS IoT - Connect Devices to the Cloud","https://console.aws.amazon.com/iot/home"
"kinesis","Kinesis - Work with Real-Time Streaming Data","https://console.aws.amazon.com/kinesis/home"
"lambda","Lambda - Run Code without Thinking about Servers","https://console.aws.amazon.com/lambda/home"
"machinelearning","Machine Learning - Build Smart Applications Quickly and Easily","https://console.aws.amazon.com/machinelearning/home"
"mobileanalytics","Mobile Analytics - Collect, View and Export App Analytics","https://console.aws.amazon.com/mobileanalytics/home"
"mobilehub","Mobile Hub - Build, Test, and Monitor Mobile Apps","https://console.aws.amazon.com/mobilehub/home"
"opsworks","OpsWorks - Automate Operations with Chef","https://console.aws.amazon.com/opsworks/home"
"rds","RDS - Managed Relational Database Service","https://console.aws.amazon.com/rds/home"
"redshift","Redshift - Fast, Simple, Cost-Effective Data Warehousing","https://console.aws.amazon.com/redshift/home"
"route53","Route 53 - Scalable DNS and Domain Name Registration","https://console.aws.amazon.com/route53/home"
"s3","S3 - Scalable Storage in the Cloud","https://console.aws.amazon.com/s3/home"
"servermigration","Server Migration - Migrate on-premises servers to AWS","https://console.aws.amazon.com/servermigration/home"
"ses","SES - Email Sending and Receiving Service","https://console.aws.amazon.com/ses/home"
"sns","SNS - Push Notification Service","https://console.aws.amazon.com/sns/home"
"sqs","SQS - Message Queue Service","https://console.aws.amazon.com/sqs/home"
"storagegateway","Storage Gateway - Hybrid Storage Integration","https://console.aws.amazon.com/storagegateway/home"
"swf","SWF - Workflow Service for Coordinating Application Components","https://console.aws.amazon.com/swf/home"
"trustedadvisor","Trusted Advisor - Optimize Performance and Security","https://console.aws.amazon.com/trustedadvisor/home"
"vpc","VPC - Isolated Cloud Resources","https://console.aws.amazon.com/vpc/home"
"waf","WAF - Filter Malicious Web Traffic","https://console.aws.amazon.com/waf/home"
"workmail","WorkMail - Secure Email and Calendaring Service","https://console.aws.amazon.com/workmail/home"
"workspaces","WorkSpaces - Desktops in the Cloud","https://console.aws.amazon.com/workspaces/home"
"zocalo","WorkDocs - Secure Enterprise Storage and Sharing Service","https://console.aws.amazon.com/zocalo/home"
